Time,Predicted pooled reads,Skew,Incidence (pop),Prevalence (pop),S (pop),I (pop),R (pop),S (sample),I (sample),R (sample),Sim no
30.0,6.94,-2.7699,0.03523333333333333,0.151,24156,4530,1314,41,9,0,88
30.0,8.26,-2.7375,0.03523333333333333,0.151,24156,4530,1314,41,6,3,89
30.0,0.0,-7.0711,0.03523333333333333,0.151,24156,4530,1314,49,0,1,90
30.0,0.06,-5.4264,0.03523333333333333,0.151,24156,4530,1314,48,0,2,91
30.0,116.0,-6.8909,0.03523333333333333,0.151,24156,4530,1314,46,0,4,92
30.0,23.16,-3.0887,0.03523333333333333,0.151,24156,4530,1314,41,6,3,93
30.0,14.4,-2.0283,0.03523333333333333,0.151,24156,4530,1314,38,12,0,94
30.0,22.86,-2.447,0.03523333333333333,0.151,24156,4530,1314,43,6,1,95
30.0,23.52,-2.0578,0.03523333333333333,0.151,24156,4530,1314,39,7,4,96
30.0,95.1,-2.3481,0.03523333333333333,0.151,24156,4530,1314,37,8,5,97
30.0,6.24,-3.2071,0.03523333333333333,0.151,24156,4530,1314,43,0,7,98
30.0,87.04,-2.0838,0.03523333333333333,0.151,24156,4530,1314,39,10,1,99
30.0,3.32,-3.7307,0.03523333333333333,0.151,24156,4530,1314,45,0,5,100
60.0,0.94,-1.0394,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,1,49,1
60.0,0.06,2.6391,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,8,42,2
60.0,0.14,1.6783,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,6,42,3
60.0,0.06,0.8425,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,15,35,4
60.0,0.06,1.3305,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,11,38,5
60.0,0.08,1.9812,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,9,40,6
60.0,0.24,-0.3667,0.0013666666666666666,0.20276666666666668,527,6083,23390,3,10,37,7
60.0,0.08,0.5027,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,9,41,8
60.0,100.18,-4.8046,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,14,36,9
60.0,0.16,0.3713,0.0013666666666666666,0.20276666666666668,527,6083,23390,2,13,35,10
60.0,0.1,0.9228,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,10,39,11
60.0,15.64,-2.3435,0.0013666666666666666,0.20276666666666668,527,6083,23390,1,9,40,12
60.0,1.66,-0.6174,0.0013666666666666666,0.20276666666666668,527,6083,23390,0,8,42,13
